name,color,packages,freshPackages
Homebrew tap Brewsci/bio,#dae89f,318,93
HP-UX 11.31,#966c7c,2260,529
IBM i,#e55874,315,30
IzzyOnDroid,#fe4491,2549,363
Kali Linux Bleeding Edge,#5a1f1d,84,2
Kali Linux Rolling,#95e659,38801,18919
KaOS,#865f75,2116,1745
KaOS Build,#99f29d,54,47
KDE neon Testing,#ea8b8b,929,18
KDE neon Unstable,#13feb2,980,19
KDE neon User,#e2aa26,1992,36
KDE neon User LTS,#79cd19,541,23
KISS Community - main,#f7148c,152,127
KISS Community - community,#a15c95,394,148
Libregamewiki,#269f00,651,249
LiGurOS stable,#5e6670,32494,10429
LiGurOS develop,#99c0d7,32525,11835
LuaRocks,#59937e,7459,573
MacPorts,#a04660,38065,16569
Mageia 8,#12e19a,17033,3349
Mageia 9,#c995b0,17504,4266
Mageia cauldron,#d58be0,16944,8184
Manjaro Stable,#f48f55,15827,10523
Manjaro Testing,#1f1346,15865,11783
Manjaro Unstable,#586bd7,15863,11851
MELPA,#26bee7,5962,0
MELPA Stable,#ca0898,3234,3178
MidnightBSD mports,#04ed66,7141,2759
MPR,#45feab,926,165
MSYS2 clang64,#acd000,3450,2427
MSYS2 clangarm64,#fa82fd,3363,2400
MSYS2 mingw,#6d8331,3989,2827
MSYS2 msys2,#4e00e0,748,524
MSYS2 ucrt64,#3f7a69,3534,2483
MX Linux MX-21,#728b48,708,67
MX Linux MX-21 Testing,#652a7e,546,66
MX Linux MX-23,#b70e44,449,68
MX Linux MX-23 Testing,#f7442f,363,71
nixpkgs stable 22.11,#4f73bd,95572,32670
nixpkgs stable 23.05,#4f73bd,99994,35711
nixpkgs stable 23.11,#4f73bd,107004,40851
nixpkgs stable 24.05,#4f73bd,114973,48842
nixpkgs stable 24.11,#4f73bd,120736,53933
nixpkgs stable 25.05,#4f73bd,128154,64513
nixpkgs unstable,#4f73bd,129995,83052
NOIR Linux Main,#4c7c34,243,60
Npackd Stable,#3a1e98,13043,182
Npackd Stable64,#120f93,7748,80
Npackd Unstable,#2b8b36,96,0
opam,#2297f9,1191,962
OpenBSD Ports,#891876,12177,6914
openEuler 20.03-LTS-SP3,#18bd9c,3382,725
openEuler 20.03-LTS-SP4,#919d1b,3418,735
openEuler 22.03-LTS,#c4ad42,4234,1066
openEuler 22.03-LTS-SP1,#a405a5,4266,1181
openEuler 22.03-LTS-SP2,#ca0e55,4275,1188
openEuler 22.03-LTS-SP3,#ab42b1,4307,1219
openEuler 22.03-LTS-SP4,#580c72,4320,1221
openEuler 23.03,#326384,4294,1243
openEuler 23.09,#7d1c84,4617,1435
openEuler 24.03-LTS,#9c9543,4876,1751
openEuler 24.03-LTS-SP1,#cd2051,4905,1754
openEuler 24.09,#23dc5d,4880,1912
openEuler 25.03,#5937f1,4990,2238
OpenIndiana packages,#a74006,6071,4032
openmamba,#fd5169,5956,4629
OpenMandriva 4.3,#075f75,12605,3228
OpenMandriva 5.0,#f156ba,15311,3333
OpenMandriva 6.0,#1d0a44,16177,4647
OpenMandriva Rolling,#02f5d9,16176,4645
OpenMandriva Cooker,#570f0f,16064,5828
OpenPKG,#b97229,2386,691
openSUSE Leap 15.4,#97b4d1,19608,3510
openSUSE Leap 15.5,#0d90e3,20732,4212
openSUSE Leap 15.6,#5b1cb0,20411,4658
openSUSE Tumbleweed,#5bf012,16644,9811
openSUSE Education Tumbleweed,#dd60fa,371,129
openSUSE Emulators Tumbleweed,#078d37,143,57
openSUSE games Tumbleweed,#20def3,928,510
openSUSE graphics Tumbleweed,#9a1ea7,324,184
openSUSE hardware:sdr Tumbleweed,#85dbee,181,72
openSUSE multimedia:apps Tumbleweed,#7b3b31,389,223
openSUSE multimedia:libs Tumbleweed,#7fe250,353,244
openSUSE network Tumbleweed,#6503eb,266,143
openSUSE science Tumbleweed,#da6270,1168,499
openSUSE security Tumbleweed,#938865,295,157
openSUSE server:irc Tumbleweed,#33ffac,43,27
openSUSE shells Tumbleweed,#8b4d82,45,16
Open VSX,#b9e6d6,354,296
OpenWrt 23.05 x86_64,#4120a0,8976,909
OpenWrt 24.10 x86_64,#96e1e9,9127,1180
OS4Depot,#504257,946,280
PackMan openSUSE Tumbleweed,#6ee548,639,264
PackMan SLE 12,#7bc2cd,259,66
PackMan SLE 15,#e20898,85,33
pacstall,#2805fa,865,201
Parabola,#bfea9d,15524,11085
Parabola Testing,#2a6c01,29,2
Pardus 21,#f4772f,32630,8015
Pardus 23,#d31d86,365,15
Parrot,#2ee02f,70726,20612
PCLinuxOS,#3ae8ee,12198,3095
Pisi Linux,#0e3ce2,3400,1568
Pisi Linux Contrib,#7c744e,138,26
pkgsrc current,#00175f,20109,11226
PLD Linux,#6c408b,14171,5707
postmarketOS 22.12,#18a24f,436,10
postmarketOS 23.06,#d554fb,434,12
postmarketOS 23.12,#6ac29d,487,8
postmarketOS 24.06,#d25d55,1189,17
postmarketOS 24.12,#723926,1247,22
postmarketOS master,#f494c6,1583,56
PTXdist,#5fc7b3,956,283
PureOS amber,#cb7004,28585,6330
PureOS byzantium,#f97445,30901,7903
PureOS landing,#8c4f15,37686,16214
PyPI,#b0b02d,27564,19661
Raspbian Oldstable,#770eb3,35274,8820
Raspbian Stable,#6464d2,39331,11200
Raspbian Testing,#e63299,43680,17727
Ravenports,#f8a053,3733,3370
ReactOS rapps,#58b95d,198,58
RebornOS,#59ff67,422,69
Rocky Linux 8,#f6ebc7,4991,659
Rocky Linux 9,#7dcd4b,3394,727
Rosa 2021.1,#97c3d3,20016,5407
Rosa 13,#b4c1ad,21087,7577
RPM Fusion EL 6,#2de995,74,15
RPM Fusion EL 7,#a6739d,142,24
RPM Fusion EL 8,#c58faa,119,23
RPM Fusion EL 9,#8a57ff,68,11
RPM Fusion Fedora 39,#f92297,451,110
RPM Fusion Fedora 40,#16f121,437,121
RPM Fusion Fedora 41,#d0e95c,439,165
RPM Fusion Fedora Rawhide,#ec9021,307,170
RPM Sphere,#f6f97e,2874,1079
RubyGems,#15938d,4443,4191
SageMath stable,#3ac6c0,372,116
SageMath development,#156a83,370,131
Salix 14.2,#f0f291,735,52
Scientific Linux 7.x,#151d89,12293,1110
Software Collections,#cad081,416,41
Scoop,#a1e30a,4471,2535
Side Linux,#49532c,951,677
Siduction,#4777fa,580,4
Siduction Experimental,#aa1eb5,30,0
SlackBuilds,#fce93a,9959,4429
Slackware 14.2,#6c14f7,1599,308
Slackware 15.0,#a22b02,1923,351
Slackware current,#980320,1816,1076
Slackware64 14.2,#d6d7fe,1586,306
Slackware64 15.0,#2e9a90,1887,348
Slackware64 current,#ddb20d,1815,1073
Slackwarearm 14.2,#00da1f,1578,295
Slackwarearm 15.0,#b7db19,1815,343
SliTaz Cooking,#97e44a,5922,1650
SliTaz Current,#37210f,1863,243
SliTaz Next,#5b3349,12181,1979
Solus,#a9b7c9,11649,5949
Spack,#192307,9686,2913
Stackage LTS Haskell,#627186,3413,3245
Stackage Nightly,#eed336,3283,3232
stal/IX,#a406c8,1380,1184
stal/IX dev,#215855,1381,1190
T2 SDE,#2ddf69,6176,5157
Tails stable,#87aae6,3,1
Tails devel,#ea6ad5,3,1
Termux,#e00735,2675,2098
Termux User Repository,#92c6da,298,129
Terra 39,#fbb1b6,2351,413
Terra 40,#84ac9a,2865,888
Terra 41,#3fc0ce,3232,1526
Terra rawhide,#7e6353,3428,1717
Tin Can Linux,#373572,81,41
Trisquel 10.0,#bcd150,32930,7067
Trisquel 10.0 backports,#cf06fb,82,10
Trisquel 11.0,#14ab52,36148,8850
Trisquel 11.0 backports,#9aeca9,64,7
UBI 8,#86a4f1,1623,157
Ubuntu 14.04,#e95420,24127,3792
Ubuntu 14.04 Backports,#e95420,109,2
Ubuntu 16.04,#e95420,27276,4739
Ubuntu 16.04 Backports,#e95420,25,0
Ubuntu 18.04,#e95420,30870,5911
Ubuntu 18.04 Backports,#e95420,18,0
Ubuntu 20.04,#e95420,32759,7101
Ubuntu 20.04 Backports,#e95420,21,1
Ubuntu 22.04,#e95420,36192,8890
Ubuntu 22.04 Backports,#e95420,21,1
Ubuntu 24.04,#e95420,38934,11984
Ubuntu 24.04 Backports,#e95420,18,1
Ubuntu 25.04,#e95420,39939,15724
Ubuntu 25.04 Backports,#e95420,3,0
Ubuntu 25.10,#e95420,39743,17734
Ubuntu 25.10 Proposed,#e95420,243,70
Vcpkg,#b3633a,2698,1218
Void Linux x86_64,#cce6b9,14332,7324
WakeMeOps,#a47399,3986,151
Wikidata,#d0de02,5553,3022
YACP,#668578,3724,2216
